date,nb_views,nb_votes
2009-11-14,432442,610
2009-11-15,66931,107
2009-11-16,127619,219
2009-11-17,187156,176
2009-11-18,169990,310
2009-11-19,,
2009-11-20,26845,56
2009-11-21,150238,289
2009-11-22,,
2009-11-23,,
2009-11-24,18561,36
2009-11-25,36403,79
2009-11-26,48061,112
2009-11-27,215520,422
2009-11-28,192295,381
2009-11-29,162873,374
2009-11-30,94691,185
2009-12-01,195699,416
2009-12-02,215790,378
2009-12-03,117959,193
2009-12-04,76626,140
2009-12-05,,
2009-12-06,,
2009-12-07,85759,213
2009-12-08,374121,657
2009-12-09,,
2009-12-10,153359,269
2009-12-11,226387,577
2009-12-12,398911,856
2009-12-13,221865,427
2009-12-14,436155,1085
2009-12-15,651085,991
2009-12-16,,
2009-12-17,46078,90
2009-12-18,,
2009-12-19,20736,73
2009-12-20,450190,1102
2009-12-21,279233,393
2009-12-22,28305,86
2009-12-23,18577,48
2009-12-24,41655,101
2009-12-25,152819,52
2009-12-26,77320,153
2009-12-27,361268,360
2009-12-28,147575,295
2009-12-29,59951,222
2009-12-30,252748,546
2009-12-31,999567,1871
2010-01-01,26952,105
2010-01-02,338402,398
2010-01-03,74251,210
2010-01-04,29613,114
2010-01-05,110167,271
2010-01-06,316790,518
2010-01-07,77589,294
2010-01-08,339456,535
2010-01-09,324759,508
2010-01-10,92779,202
2010-01-11,,
2010-01-12,871670,999
2010-01-13,197138,505
2010-01-14,344538,964
2010-01-15,42922,68
2010-01-16,223278,386
2010-01-17,93194,225
2010-01-18,112705,242
2010-01-19,338024,598
2010-01-20,442967,552
2010-01-21,85782,173
2010-01-22,,
2010-01-23,62473,68
2010-01-24,35740,87
2010-01-25,,
2010-01-26,43492,80
2010-01-27,91695,157
2010-01-28,773260,532
2010-01-29,192105,503
2010-01-30,1166498,2489
2010-01-31,56088,112
2010-02-01,58889,86
2010-02-02,154138,302
2010-02-03,107882,236
2010-02-04,150764,261
2010-02-05,24197,77
2010-02-06,155414,220
2010-02-07,145947,307
2010-02-08,,
2010-02-09,,
2010-02-10,107328,203
2010-02-11,29232,50
2010-02-12,,
2010-02-13,1153450,609
2010-02-14,163660,261
2010-02-15,217410,441
2010-02-16,48003,93
2010-02-17,85118,214
2010-02-18,79514,155
2010-02-19,318517,500
2010-02-20,53901,153
2010-02-21,92497,183
2010-02-22,308356,558
2010-02-23,155786,269
2010-02-24,52932,127
2010-02-25,326443,562
2010-02-26,,
2010-02-27,,
2010-02-28,,
2010-03-01,73313,125
2010-03-02,338884,698
2010-03-03,,
2010-03-04,165324,320
2010-03-05,,
2010-03-06,165453,194
2010-03-07,,
2010-03-08,,
2010-03-09,,
2010-03-10,,
2010-03-11,,
2010-03-12,45594,124
2010-03-13,150351,386
2010-03-14,3842,11
2010-03-15,66578,180
2010-03-16,432967,526
2010-03-17,93488,210
2010-03-18,31286,68
2010-03-19,150542,276
2010-03-20,367641,558
2010-03-21,99668,256
2010-03-22,289578,354
2010-03-23,271324,673
2010-03-24,346992,463
2010-03-25,49443,159
2010-03-26,417965,914
2010-03-27,1360931,3099
2010-03-28,144705,370
2010-03-29,118616,245
2010-03-30,142119,350
2010-03-31,459425,790
2010-04-01,102493,180
2010-04-02,243720,505
2010-04-03,5148,14
2010-04-04,86523,179
2010-04-05,74817,118
2010-04-06,122572,228
2010-04-07,134876,252
2010-04-08,42165,90
2010-04-09,188977,362
2010-04-10,96790,143
2010-04-11,,
2010-04-12,40726,52
2010-04-13,113039,305
2010-04-14,70349,124
2010-04-15,178223,318
2010-04-16,599968,572
2010-04-17,470047,899
2010-04-18,103914,131
2010-04-19,461870,537
2010-04-20,223574,296
2010-04-21,223059,314
2010-04-22,66365,122
2010-04-23,,
2010-04-24,,
2010-04-25,20803,42
2010-04-26,94919,160
2010-04-27,142435,301
2010-04-28,307478,265
2010-04-29,40368,82
2010-04-30,300520,428
2010-05-01,180540,259
2010-05-02,22546,76
2010-05-03,54786,70
2010-05-04,53225,101
2010-05-05,,
2010-05-06,202652,304
2010-05-07,41478,115
2010-05-08,80642,142
2010-05-09,113120,176
2010-05-10,317089,653
2010-05-11,78485,304
2010-05-12,203689,378
2010-05-13,848300,1969
2010-05-14,296254,570
2010-05-15,118907,199
2010-05-16,486059,638
2010-05-17,,
2010-05-18,102096,206
2010-05-19,349752,503
2010-05-20,,
2010-05-21,,
2010-05-22,95204,202
2010-05-23,161541,427
2010-05-24,,
2010-05-25,239401,290
2010-05-26,328454,376
2010-05-27,228858,353
2010-05-28,191331,332
2010-05-29,6151,18
2010-05-30,144742,278
2010-05-31,219954,574
2010-06-01,57634,153
2010-06-02,77821,149
2010-06-03,44896,111
2010-06-04,58029,134
2010-06-05,284669,595
2010-06-06,23872,75
2010-06-07,9217,20
2010-06-08,366050,552
2010-06-09,30798,86
2010-06-10,63732,134
2010-06-11,64140,120
2010-06-12,687079,836
2010-06-13,57115,80
2010-06-14,101323,430
2010-06-15,259558,317
2010-06-16,,
2010-06-17,230027,399
2010-06-18,334546,354
2010-06-19,101769,126
2010-06-20,219962,476
2010-06-21,31485,74
2010-06-22,178466,268
2010-06-23,112750,166
2010-06-24,215942,314
2010-06-25,168373,290
2010-06-26,299480,427
2010-06-27,114357,182
2010-06-28,,
2010-06-29,53832,118
2010-06-30,67432,145
2010-07-01,356797,504
2010-07-02,98207,123
2010-07-03,36288,95
2010-07-04,69819,106
2010-07-05,220064,289
2010-07-06,411336,464
2010-07-07,68970,165
2010-07-08,347564,519
2010-07-09,113994,200
2010-07-10,,
2010-07-11,200919,294
2010-07-12,269976,213
2010-07-13,63020,136
2010-07-14,199488,366
2010-07-15,54338,116
2010-07-16,92157,186
2010-07-17,142141,376
2010-07-18,,
2010-07-19,213728,525
2010-07-20,65556,131
2010-07-21,39343,68
2010-07-22,49213,99
2010-07-23,101591,282
2010-07-24,153639,270
2010-07-25,98153,288
2010-07-26,129716,196
2010-07-27,449517,405
2010-07-28,207522,439
2010-07-29,178052,344
2010-07-30,421165,590
2010-07-31,298799,521
2010-08-01,57733,146
2010-08-02,128358,354
2010-08-03,206895,526
2010-08-04,17281,39
2010-08-05,52297,132
2010-08-06,41462,92
2010-08-07,60394,151
2010-08-08,118545,196
2010-08-09,112998,268
2010-08-10,180410,250
2010-08-11,94289,164
2010-08-12,87548,209
2010-08-13,79934,126
2010-08-14,152812,229
2010-08-15,67716,161
2010-08-16,165228,316
2010-08-17,253644,380
2010-08-18,155540,239
2010-08-19,96107,263
2010-08-20,315647,530
2010-08-21,237683,411
2010-08-22,70761,170
2010-08-23,131817,232
2010-08-24,128723,228
2010-08-25,282015,633
2010-08-26,424720,586
2010-08-27,46582,117
2010-08-28,41625,108
2010-08-29,54936,111
2010-08-30,138606,299
2010-08-31,,
2010-09-01,37226,71
2010-09-02,71982,190
2010-09-03,115571,191
2010-09-04,6137,35
2010-09-05,495016,684
2010-09-06,84074,198
2010-09-07,53258,131
2010-09-08,259683,341
2010-09-09,25520,67
2010-09-10,66063,72
2010-09-11,170737,281
2010-09-12,29753,126
2010-09-13,37222,104
2010-09-14,166390,260
2010-09-15,109470,211
2010-09-16,69971,159
2010-09-17,69852,174
2010-09-18,38717,74
2010-09-19,61976,133
2010-09-20,93968,181
2010-09-21,223288,449
2010-09-22,,
2010-09-23,110190,266
2010-09-24,27138,84
2010-09-25,124592,187
2010-09-26,82784,190
2010-09-27,94336,316
2010-09-28,208382,307
2010-09-29,55649,145
2010-09-30,85486,290
2010-10-01,103349,224
2010-10-02,,
2010-10-03,102327,193
2010-10-04,19942,67
2010-10-05,36172,89
2010-10-06,708928,869
2010-10-07,151001,344
2010-10-08,48944,76
2010-10-09,36739,76
2010-10-10,32194,96
2010-10-11,27636,64
2010-10-12,192139,412
2010-10-13,99126,207
2010-10-14,206198,392
2010-10-15,33063,89
2010-10-16,78307,224
2010-10-17,,
2010-10-18,87956,202
2010-10-19,,
2010-10-20,30607,88
2010-10-21,376760,630
2010-10-22,296739,441
2010-10-23,88668,210
2010-10-24,258756,396
2010-10-25,179924,313
2010-10-26,,
2010-10-27,61836,110
2010-10-28,5680,42
2010-10-29,,
2010-10-30,384256,678
2010-10-31,134734,286
2010-11-01,51916,116
2010-11-02,136340,268
2010-11-03,36035,92
